ID;Website;URL;RSS;model
1;elcorreo;https://www.elcorreo.com/;;spanish_model_4_elpais_elmundo_20Minutos_diariaovasco
2;larazon;https://www.larazon.es/;;spanish_model_4_elpais_elmundo_20Minutos_diariaovasco
3;publico;https://www.publico.es/;;spanish_model_4_elpais_elmundo_20Minutos_diariaovasco
4;szekelyhon;https://szekelyhon.ro/;;hu_4_nepujsag_nyugatijelen_maszol_transindex
5;szabadsag;http://szabadsag.ro/;;hu_4_nepujsag_nyugatijelen_maszol_transindex
6;nepujsag;https://www.e-nepujsag.ro/;;hu_4_nepujsag_nyugatijelen_maszol_transindex
7;nyugatijelen;https://www.nyugatijelen.com/;;hu_4_nepujsag_nyugatijelen_maszol_transindex
8;transindex;https://transindex.ro//;;hu_4_nepujsag_nyugatijelen_maszol_transindex



